"Step","rank: 25 - perplexity/train","rank: 25 - perplexity/train__MIN","rank: 25 - perplexity/train__MAX","rank: 20 - perplexity/train","rank: 20 - perplexity/train__MIN","rank: 20 - perplexity/train__MAX","rank: 30 - perplexity/train","rank: 30 - perplexity/train__MIN","rank: 30 - perplexity/train__MAX","rank: 35 - perplexity/train","rank: 35 - perplexity/train__MIN","rank: 35 - perplexity/train__MAX","rank: 17 - perplexity/train","rank: 17 - perplexity/train__MIN","rank: 17 - perplexity/train__MAX","rank: 10 - perplexity/train","rank: 10 - perplexity/train__MIN","rank: 10 - perplexity/train__MAX","rank: 5 - perplexity/train","rank: 5 - perplexity/train__MIN","rank: 5 - perplexity/train__MAX"
"21","84.98800659179688","84.98800659179688","84.98800659179688","97.66018676757812","97.66018676757812","97.66018676757812","73.6233901977539","73.6233901977539","73.6233901977539","63.66032028198242","63.66032028198242","63.66032028198242","108.10871887207031","108.10871887207031","108.10871887207031","141.86953735351562","141.86953735351562","141.86953735351562","196.4294891357422","196.4294891357422","196.4294891357422"
"23","82.59169006347656","82.59169006347656","82.59169006347656","95.37625885009766","95.37625885009766","95.37625885009766","71.0554428100586","71.0554428100586","71.0554428100586","60.9876823425293","60.9876823425293","60.9876823425293","105.70703125","105.70703125","105.70703125","139.514404296875","139.514404296875","139.514404296875","194.49537658691406","194.49537658691406","194.49537658691406"
"25","80.35279083251953","80.35279083251953","80.35279083251953","93.2763671875","93.2763671875","93.2763671875","68.88208770751953","68.88208770751953","68.88208770751953","58.856204986572266","58.856204986572266","58.856204986572266","103.60457611083984","103.60457611083984","103.60457611083984","137.2658233642578","137.2658233642578","137.2658233642578","192.0643310546875","192.0643310546875","192.0643310546875"
"27","78.51644897460938","78.51644897460938","78.51644897460938","91.51168823242188","91.51168823242188","91.51168823242188","66.87651824951172","66.87651824951172","66.87651824951172","56.91287612915039","56.91287612915039","56.91287612915039","101.73860168457031","101.73860168457031","101.73860168457031","135.62490844726562","135.62490844726562","135.62490844726562","190.24293518066406","190.24293518066406","190.24293518066406"
"29","76.7850112915039","76.7850112915039","76.7850112915039","89.75704193115234","89.75704193115234","89.75704193115234","65.15853881835938","65.15853881835938","65.15853881835938","55.10446548461914","55.10446548461914","55.10446548461914","100.18594360351562","100.18594360351562","100.18594360351562","134.03213500976562","134.03213500976562","134.03213500976562","188.75152587890625","188.75152587890625","188.75152587890625"
"31","75.12953186035156","75.12953186035156","75.12953186035156","88.34534454345703","88.34534454345703","88.34534454345703","63.458927154541016","63.458927154541016","63.458927154541016","53.6033935546875","53.6033935546875","53.6033935546875","98.78656768798828","98.78656768798828","98.78656768798828","132.68417358398438","132.68417358398438","132.68417358398438","187.39442443847656","187.39442443847656","187.39442443847656"
"33","73.55220031738281","73.55220031738281","73.55220031738281","87.04330444335938","87.04330444335938","87.04330444335938","62.08035659790039","62.08035659790039","62.08035659790039","52.19190216064453","52.19190216064453","52.19190216064453","97.36360931396484","97.36360931396484","97.36360931396484","131.64039611816406","131.64039611816406","131.64039611816406","186.27960205078125","186.27960205078125","186.27960205078125"
"35","72.41229248046875","72.41229248046875","72.41229248046875","85.80935668945312","85.80935668945312","85.80935668945312","60.639129638671875","60.639129638671875","60.639129638671875","50.96957015991211","50.96957015991211","50.96957015991211","96.18293762207031","96.18293762207031","96.18293762207031","130.3219451904297","130.3219451904297","130.3219451904297","185.56365966796875","185.56365966796875","185.56365966796875"
"37","71.09651184082031","71.09651184082031","71.09651184082031","84.67261505126953","84.67261505126953","84.67261505126953","59.320858001708984","59.320858001708984","59.320858001708984","49.69749069213867","49.69749069213867","49.69749069213867","95.02621459960938","95.02621459960938","95.02621459960938","129.54293823242188","129.54293823242188","129.54293823242188","184.52145385742188","184.52145385742188","184.52145385742188"
"39","69.87417602539062","69.87417602539062","69.87417602539062","83.48135375976562","83.48135375976562","83.48135375976562","58.25562286376953","58.25562286376953","58.25562286376953","48.610755920410156","48.610755920410156","48.610755920410156","94.07894897460938","94.07894897460938","94.07894897460938","128.79132080078125","128.79132080078125","128.79132080078125","183.65428161621094","183.65428161621094","183.65428161621094"
