"Step","rank: 17 - loss/train","rank: 17 - loss/train__MIN","rank: 17 - loss/train__MAX","rank: 10 - loss/train","rank: 10 - loss/train__MIN","rank: 10 - loss/train__MAX","rank: 8 - loss/train","rank: 8 - loss/train__MIN","rank: 8 - loss/train__MAX","rank: 6 - loss/train","rank: 6 - loss/train__MIN","rank: 6 - loss/train__MAX","rank: 4 - loss/train","rank: 4 - loss/train__MIN","rank: 4 - loss/train__MAX"
"21","4.664853572845459","4.664853572845459","4.664853572845459","4.937610149383545","4.937610149383545","4.937610149383545","5.033266067504883","5.033266067504883","5.033266067504883","5.170199871063232","5.170199871063232","5.170199871063232","5.365585803985596","5.365585803985596","5.365585803985596"
"23","4.643260955810547","4.643260955810547","4.643260955810547","4.920032501220703","4.920032501220703","4.920032501220703","5.019179344177246","5.019179344177246","5.019179344177246","5.157366752624512","5.157366752624512","5.157366752624512","5.358219623565674","5.358219623565674","5.358219623565674"
"25","4.62288761138916","4.62288761138916","4.62288761138916","4.904821872711182","4.904821872711182","4.904821872711182","5.0068159103393555","5.0068159103393555","5.0068159103393555","5.147462368011475","5.147462368011475","5.147462368011475","5.351689338684082","5.351689338684082","5.351689338684082"
"27","4.605499744415283","4.605499744415283","4.605499744415283","4.893397808074951","4.893397808074951","4.893397808074951","4.996622085571289","4.996622085571289","4.996622085571289","5.137664794921875","5.137664794921875","5.137664794921875","5.345621109008789","5.345621109008789","5.345621109008789"
"29","4.590120792388916","4.590120792388916","4.590120792388916","4.881474494934082","4.881474494934082","4.881474494934082","4.987860679626465","4.987860679626465","4.987860679626465","5.129512310028076","5.129512310028076","5.129512310028076","5.3408122062683105","5.3408122062683105","5.3408122062683105"
"31","4.575735092163086","4.575735092163086","4.575735092163086","4.871038436889648","4.871038436889648","4.871038436889648","4.978696823120117","4.978696823120117","4.978696823120117","5.122560977935791","5.122560977935791","5.122560977935791","5.336676597595215","5.336676597595215","5.336676597595215"
"33","4.561470031738281","4.561470031738281","4.561470031738281","4.862718105316162","4.862718105316162","4.862718105316162","4.97068452835083","4.97068452835083","4.97068452835083","5.114354610443115","5.114354610443115","5.114354610443115","5.332106113433838","5.332106113433838","5.332106113433838"
"35","4.549490928649902","4.549490928649902","4.549490928649902","4.85366153717041","4.85366153717041","4.85366153717041","4.965524196624756","4.965524196624756","4.965524196624756","5.109449863433838","5.109449863433838","5.109449863433838","5.329685688018799","5.329685688018799","5.329685688018799"
"37","4.537203788757324","4.537203788757324","4.537203788757324","4.847765922546387","4.847765922546387","4.847765922546387","4.9591474533081055","4.9591474533081055","4.9591474533081055","5.103972434997559","5.103972434997559","5.103972434997559","5.328073024749756","5.328073024749756","5.328073024749756"
"39","4.527302265167236","4.527302265167236","4.527302265167236","4.840102672576904","4.840102672576904","4.840102672576904","4.953635215759277","4.953635215759277","4.953635215759277","5.0990118980407715","5.0990118980407715","5.0990118980407715","5.323338508605957","5.323338508605957","5.323338508605957"
"41","4.5157694816589355","4.5157694816589355","4.5157694816589355","4.833838939666748","4.833838939666748","4.833838939666748","4.94851541519165","4.94851541519165","4.94851541519165","5.09544038772583","5.09544038772583","5.09544038772583","5.320515155792236","5.320515155792236","5.320515155792236"
