"epoch","rank: 50 - _step","rank: 50 - _step__MIN","rank: 50 - _step__MAX","rank: 50 - perplexity_valid","rank: 50 - perplexity_valid__MIN","rank: 50 - perplexity_valid__MAX","rank: 40 - _step","rank: 40 - _step__MIN","rank: 40 - _step__MAX","rank: 40 - perplexity_valid","rank: 40 - perplexity_valid__MIN","rank: 40 - perplexity_valid__MAX","rank: 20 - _step","rank: 20 - _step__MIN","rank: 20 - _step__MAX","rank: 20 - perplexity_valid","rank: 20 - perplexity_valid__MIN","rank: 20 - perplexity_valid__MAX","rank: 10 - _step","rank: 10 - _step__MIN","rank: 10 - _step__MAX","rank: 10 - perplexity_valid","rank: 10 - perplexity_valid__MIN","rank: 10 - perplexity_valid__MAX","rank: 30 - _step","rank: 30 - _step__MIN","rank: 30 - _step__MAX","rank: 30 - perplexity_valid","rank: 30 - perplexity_valid__MIN","rank: 30 - perplexity_valid__MAX"
"18","36","36","36","130.5509490966797","130.5509490966797","130.5509490966797","36","36","36","131.86273193359375","131.86273193359375","131.86273193359375","36","36","36","139.25192260742188","139.25192260742188","139.25192260742188","36","36","36","162.39999389648438","162.39999389648438","162.39999389648438","36","36","36","133.20651245117188","133.20651245117188","133.20651245117188"
"19","38","38","38","129.61544799804688","129.61544799804688","129.61544799804688","38","38","38","130.6061553955078","130.6061553955078","130.6061553955078","38","38","38","138.5797119140625","138.5797119140625","138.5797119140625","38","38","38","160.8299102783203","160.8299102783203","160.8299102783203","38","38","38","132.52362060546875","132.52362060546875","132.52362060546875"
"20","40","40","40","129.046875","129.046875","129.046875","40","40","40","130.23548889160156","130.23548889160156","130.23548889160156","40","40","40","137.16580200195312","137.16580200195312","137.16580200195312","40","40","40","160.9391326904297","160.9391326904297","160.9391326904297","40","40","40","131.72860717773438","131.72860717773438","131.72860717773438"
"21","42","42","42","128.15122985839844","128.15122985839844","128.15122985839844","42","42","42","129.08544921875","129.08544921875","129.08544921875","42","42","42","136.68296813964844","136.68296813964844","136.68296813964844","42","42","42","160.24180603027344","160.24180603027344","160.24180603027344","42","42","42","131.00306701660156","131.00306701660156","131.00306701660156"
"22","44","44","44","127.68829345703125","127.68829345703125","127.68829345703125","44","44","44","128.96287536621094","128.96287536621094","128.96287536621094","44","44","44","136.00094604492188","136.00094604492188","136.00094604492188","44","44","44","158.36297607421875","158.36297607421875","158.36297607421875","44","44","44","130.09185791015625","130.09185791015625","130.09185791015625"
"23","46","46","46","127.32404327392578","127.32404327392578","127.32404327392578","46","46","46","127.69509887695312","127.69509887695312","127.69509887695312","46","46","46","135.4068603515625","135.4068603515625","135.4068603515625","46","46","46","158.9798126220703","158.9798126220703","158.9798126220703","46","46","46","129.9672393798828","129.9672393798828","129.9672393798828"
"24","48","48","48","126.99004364013672","126.99004364013672","126.99004364013672","48","48","48","127.32437896728516","127.32437896728516","127.32437896728516","48","48","48","134.78662109375","134.78662109375","134.78662109375","48","48","48","158.06692504882812","158.06692504882812","158.06692504882812","48","48","48","129.2633514404297","129.2633514404297","129.2633514404297"
"25","50","50","50","126.1793212890625","126.1793212890625","126.1793212890625","50","50","50","127.31385040283203","127.31385040283203","127.31385040283203","50","50","50","134.3168487548828","134.3168487548828","134.3168487548828","50","50","50","158.52890014648438","158.52890014648438","158.52890014648438","50","50","50","128.58775329589844","128.58775329589844","128.58775329589844"
"26","52","52","52","126.07518005371094","126.07518005371094","126.07518005371094","52","52","52","127.3566665649414","127.3566665649414","127.3566665649414","52","52","52","133.9477996826172","133.9477996826172","133.9477996826172","52","52","52","156.91204833984375","156.91204833984375","156.91204833984375","52","52","52","127.83206939697266","127.83206939697266","127.83206939697266"
"27","54","54","54","125.64323425292969","125.64323425292969","125.64323425292969","54","54","54","126.4010238647461","126.4010238647461","126.4010238647461","54","54","54","133.84474182128906","133.84474182128906","133.84474182128906","54","54","54","156.54969787597656","156.54969787597656","156.54969787597656","54","54","54","127.8418960571289","127.8418960571289","127.8418960571289"
