"epoch","rank: 50 - _step","rank: 50 - _step__MIN","rank: 50 - _step__MAX","rank: 50 - perplexity_valid","rank: 50 - perplexity_valid__MIN","rank: 50 - perplexity_valid__MAX","rank: 30 - _step","rank: 30 - _step__MIN","rank: 30 - _step__MAX","rank: 30 - perplexity_valid","rank: 30 - perplexity_valid__MIN","rank: 30 - perplexity_valid__MAX","rank: 20 - _step","rank: 20 - _step__MIN","rank: 20 - _step__MAX","rank: 20 - perplexity_valid","rank: 20 - perplexity_valid__MIN","rank: 20 - perplexity_valid__MAX","rank: 40 - _step","rank: 40 - _step__MIN","rank: 40 - _step__MAX","rank: 40 - perplexity_valid","rank: 40 - perplexity_valid__MIN","rank: 40 - perplexity_valid__MAX","rank: 10 - _step","rank: 10 - _step__MIN","rank: 10 - _step__MAX","rank: 10 - perplexity_valid","rank: 10 - perplexity_valid__MIN","rank: 10 - perplexity_valid__MAX"
"17","34","34","34","133.40802001953125","133.40802001953125","133.40802001953125","34","34","34","121.0086441040039","121.0086441040039","121.0086441040039","34","34","34","128.02401733398438","128.02401733398438","128.02401733398438","34","34","34","123.2218246459961","123.2218246459961","123.2218246459961","34","34","34","154.27999877929688","154.27999877929688","154.27999877929688"
"18","36","36","36","134.4276580810547","134.4276580810547","134.4276580810547","36","36","36","121.2031021118164","121.2031021118164","121.2031021118164","36","36","36","127.36676788330078","127.36676788330078","127.36676788330078","36","36","36","123.89511108398438","123.89511108398438","123.89511108398438","36","36","36","153.12924194335938","153.12924194335938","153.12924194335938"
"19","38","38","38","135.06968688964844","135.06968688964844","135.06968688964844","38","38","38","118.83358001708984","118.83358001708984","118.83358001708984","38","38","38","125.60020446777344","125.60020446777344","125.60020446777344","38","38","38","124.03799438476562","124.03799438476562","124.03799438476562","38","38","38","151.7232208251953","151.7232208251953","151.7232208251953"
"20","40","40","40","138.97218322753906","138.97218322753906","138.97218322753906","40","40","40","119.07133483886719","119.07133483886719","119.07133483886719","40","40","40","126.29116821289062","126.29116821289062","126.29116821289062","40","40","40","124.58501434326172","124.58501434326172","124.58501434326172","40","40","40","150.5636444091797","150.5636444091797","150.5636444091797"
"21","42","42","42","141.07606506347656","141.07606506347656","141.07606506347656","42","42","42","119.07197570800781","119.07197570800781","119.07197570800781","42","42","42","125.47147369384766","125.47147369384766","125.47147369384766","42","42","42","124.27017211914062","124.27017211914062","124.27017211914062","42","42","42","151.1276397705078","151.1276397705078","151.1276397705078"
"22","44","44","44","144.96038818359375","144.96038818359375","144.96038818359375","44","44","44","118.48503112792969","118.48503112792969","118.48503112792969","44","44","44","125.33038330078125","125.33038330078125","125.33038330078125","44","44","44","126.0632553100586","126.0632553100586","126.0632553100586","44","44","44","148.83839416503906","148.83839416503906","148.83839416503906"
"23","46","46","46","146.40916442871094","146.40916442871094","146.40916442871094","46","46","46","117.98542022705078","117.98542022705078","117.98542022705078","46","46","46","123.8976058959961","123.8976058959961","123.8976058959961","46","46","46","127.19786834716797","127.19786834716797","127.19786834716797","46","46","46","148.40438842773438","148.40438842773438","148.40438842773438"
"24","48","48","48","150.51913452148438","150.51913452148438","150.51913452148438","48","48","48","118.84989929199219","118.84989929199219","118.84989929199219","48","48","48","122.48631286621094","122.48631286621094","122.48631286621094","48","48","48","127.63526916503906","127.63526916503906","127.63526916503906","48","48","48","148.312255859375","148.312255859375","148.312255859375"
"25","50","50","50","153.16102600097656","153.16102600097656","153.16102600097656","50","50","50","117.91551208496094","117.91551208496094","117.91551208496094","50","50","50","122.92837524414062","122.92837524414062","122.92837524414062","50","50","50","128.84242248535156","128.84242248535156","128.84242248535156","50","50","50","147.3564453125","147.3564453125","147.3564453125"
"26","52","52","52","154.242919921875","154.242919921875","154.242919921875","52","52","52","118.07245635986328","118.07245635986328","118.07245635986328","52","52","52","122.26197052001953","122.26197052001953","122.26197052001953","52","52","52","128.84861755371094","128.84861755371094","128.84861755371094","52","52","52","146.99908447265625","146.99908447265625","146.99908447265625"
"27","54","54","54","157.951171875","157.951171875","157.951171875","54","54","54","118.23611450195312","118.23611450195312","118.23611450195312","54","54","54","123.26570129394531","123.26570129394531","123.26570129394531","54","54","54","129.90184020996094","129.90184020996094","129.90184020996094","54","54","54","146.21923828125","146.21923828125","146.21923828125"
"28","56","56","56","161.8444366455078","161.8444366455078","161.8444366455078","56","56","56","118.05915069580078","118.05915069580078","118.05915069580078","56","56","56","121.12327575683594","121.12327575683594","121.12327575683594","56","56","56","132.04747009277344","132.04747009277344","132.04747009277344","56","56","56","145.51654052734375","145.51654052734375","145.51654052734375"
"29","58","58","58","163.92343139648438","163.92343139648438","163.92343139648438","58","58","58","119.17535400390625","119.17535400390625","119.17535400390625","58","58","58","121.4605712890625","121.4605712890625","121.4605712890625","58","58","58","131.89425659179688","131.89425659179688","131.89425659179688","58","58","58","145.5499267578125","145.5499267578125","145.5499267578125"
"30","60","60","60","165.26795959472656","165.26795959472656","165.26795959472656","60","60","60","118.53724670410156","118.53724670410156","118.53724670410156","60","60","60","121.07626342773438","121.07626342773438","121.07626342773438","60","60","60","132.78485107421875","132.78485107421875","132.78485107421875","60","60","60","144.4901580810547","144.4901580810547","144.4901580810547"
"31","62","62","62","168.47740173339844","168.47740173339844","168.47740173339844","62","62","62","119.40564727783203","119.40564727783203","119.40564727783203","62","62","62","121.40636444091797","121.40636444091797","121.40636444091797","62","62","62","135.30125427246094","135.30125427246094","135.30125427246094","62","62","62","146.41653442382812","146.41653442382812","146.41653442382812"
"32","64","64","64","171.91012573242188","171.91012573242188","171.91012573242188","64","64","64","118.65740966796875","118.65740966796875","118.65740966796875","64","64","64","120.84823608398438","120.84823608398438","120.84823608398438","64","64","64","136.24261474609375","136.24261474609375","136.24261474609375","64","64","64","144.81353759765625","144.81353759765625","144.81353759765625"
"33","66","66","66","175.8833465576172","175.8833465576172","175.8833465576172","66","66","66","118.2522201538086","118.2522201538086","118.2522201538086","66","66","66","121.1011734008789","121.1011734008789","121.1011734008789","66","66","66","137.2909698486328","137.2909698486328","137.2909698486328","66","66","66","144.81820678710938","144.81820678710938","144.81820678710938"
"34","68","68","68","179.4510040283203","179.4510040283203","179.4510040283203","68","68","68","119.46782684326172","119.46782684326172","119.46782684326172","68","68","68","120.78277587890625","120.78277587890625","120.78277587890625","68","68","68","137.88311767578125","137.88311767578125","137.88311767578125","68","68","68","144.83131408691406","144.83131408691406","144.83131408691406"
"35","70","70","70","182.85072326660156","182.85072326660156","182.85072326660156","70","70","70","120.27130889892578","120.27130889892578","120.27130889892578","70","70","70","120.82984161376953","120.82984161376953","120.82984161376953","70","70","70","140.6389923095703","140.6389923095703","140.6389923095703","70","70","70","143.52352905273438","143.52352905273438","143.52352905273438"
"36","72","72","72","183.9488525390625","183.9488525390625","183.9488525390625","72","72","72","120.28587341308594","120.28587341308594","120.28587341308594","72","72","72","119.74674987792969","119.74674987792969","119.74674987792969","72","72","72","139.96112060546875","139.96112060546875","139.96112060546875","72","72","72","143.57591247558594","143.57591247558594","143.57591247558594"
"37","74","74","74","190.40618896484375","190.40618896484375","190.40618896484375","74","74","74","119.49810028076172","119.49810028076172","119.49810028076172","74","74","74","120.29103088378906","120.29103088378906","120.29103088378906","74","74","74","139.10888671875","139.10888671875","139.10888671875","74","74","74","144.33062744140625","144.33062744140625","144.33062744140625"
"38","76","76","76","189.56141662597656","189.56141662597656","189.56141662597656","76","76","76","120.5238037109375","120.5238037109375","120.5238037109375","76","76","76","120.15569305419922","120.15569305419922","120.15569305419922","76","76","76","141.62371826171875","141.62371826171875","141.62371826171875","76","76","76","142.78201293945312","142.78201293945312","142.78201293945312"
"39","78","78","78","199.41799926757812","199.41799926757812","199.41799926757812","78","78","78","121.5934066772461","121.5934066772461","121.5934066772461","78","78","78","119.31562805175781","119.31562805175781","119.31562805175781","78","78","78","144.7075958251953","144.7075958251953","144.7075958251953","78","78","78","142.98419189453125","142.98419189453125","142.98419189453125"
"40","80","80","80","196.1699981689453","196.1699981689453","196.1699981689453","80","80","80","120.47284698486328","120.47284698486328","120.47284698486328","80","80","80","120.44041442871094","120.44041442871094","120.44041442871094","80","80","80","147.63954162597656","147.63954162597656","147.63954162597656","80","80","80","142.98617553710938","142.98617553710938","142.98617553710938"
"41","82","82","82","201.5074920654297","201.5074920654297","201.5074920654297","82","82","82","121.5229721069336","121.5229721069336","121.5229721069336","82","82","82","120.0633544921875","120.0633544921875","120.0633544921875","82","82","82","144.84405517578125","144.84405517578125","144.84405517578125","82","82","82","143.1893768310547","143.1893768310547","143.1893768310547"
"42","84","84","84","202.82107543945312","202.82107543945312","202.82107543945312","84","84","84","122.14305877685547","122.14305877685547","122.14305877685547","84","84","84","120.5176773071289","120.5176773071289","120.5176773071289","84","84","84","147.98255920410156","147.98255920410156","147.98255920410156","84","84","84","143.69668579101562","143.69668579101562","143.69668579101562"
"43","86","86","86","212.4455108642578","212.4455108642578","212.4455108642578","86","86","86","121.77606964111328","121.77606964111328","121.77606964111328","86","86","86","119.678466796875","119.678466796875","119.678466796875","86","86","86","150.14088439941406","150.14088439941406","150.14088439941406","86","86","86","142.35696411132812","142.35696411132812","142.35696411132812"
"44","88","88","88","210.56378173828125","210.56378173828125","210.56378173828125","88","88","88","121.74788665771484","121.74788665771484","121.74788665771484","88","88","88","119.68701171875","119.68701171875","119.68701171875","88","88","88","150.0399932861328","150.0399932861328","150.0399932861328","88","88","88","142.0159454345703","142.0159454345703","142.0159454345703"
"45","90","90","90","210.7759552001953","210.7759552001953","210.7759552001953","90","90","90","122.90975189208984","122.90975189208984","122.90975189208984","90","90","90","120.00302124023438","120.00302124023438","120.00302124023438","90","90","90","150.88668823242188","150.88668823242188","150.88668823242188","90","90","90","141.96871948242188","141.96871948242188","141.96871948242188"
"46","92","92","92","216.846923828125","216.846923828125","216.846923828125","92","92","92","124.17829895019531","124.17829895019531","124.17829895019531","92","92","92","119.75540924072266","119.75540924072266","119.75540924072266","92","92","92","153.17457580566406","153.17457580566406","153.17457580566406","92","92","92","142.0316619873047","142.0316619873047","142.0316619873047"
"47","94","94","94","217.8275909423828","217.8275909423828","217.8275909423828","94","94","94","121.95436096191406","121.95436096191406","121.95436096191406","94","94","94","119.41435241699219","119.41435241699219","119.41435241699219","94","94","94","155.8989715576172","155.8989715576172","155.8989715576172","94","94","94","141.76312255859375","141.76312255859375","141.76312255859375"
"48","96","96","96","228.4202423095703","228.4202423095703","228.4202423095703","96","96","96","123.5257568359375","123.5257568359375","123.5257568359375","96","96","96","120.36078643798828","120.36078643798828","120.36078643798828","96","96","96","151.52032470703125","151.52032470703125","151.52032470703125","96","96","96","141.2117156982422","141.2117156982422","141.2117156982422"
"49","98","98","98","228.43443298339844","228.43443298339844","228.43443298339844","98","98","98","124.4731216430664","124.4731216430664","124.4731216430664","98","98","98","119.13167572021484","119.13167572021484","119.13167572021484","98","98","98","155.63421630859375","155.63421630859375","155.63421630859375","98","98","98","141.54684448242188","141.54684448242188","141.54684448242188"
