"Step","RACs_ptb - perplexity_valid","RACs_ptb - perplexity_valid__MIN","RACs_ptb - perplexity_valid__MAX","RNN_ptb - perplexity_valid","RNN_ptb - perplexity_valid__MIN","RNN_ptb - perplexity_valid__MAX","TinyTNLM_ptb - perplexity_valid","TinyTNLM_ptb - perplexity_valid__MIN","TinyTNLM_ptb - perplexity_valid__MAX","MRNN_ptb - perplexity_valid","MRNN_ptb - perplexity_valid__MIN","MRNN_ptb - perplexity_valid__MAX","MIRNN_ptb - perplexity_valid","MIRNN_ptb - perplexity_valid__MIN","MIRNN_ptb - perplexity_valid__MAX","Second_ptb - perplexity_valid","Second_ptb - perplexity_valid__MIN","Second_ptb - perplexity_valid__MAX"
"32","151.75613403320312","151.75613403320312","151.75613403320312","155.5834503173828","155.5834503173828","155.5834503173828","152.90220642089844","152.90220642089844","152.90220642089844","123.26495361328125","123.26495361328125","123.26495361328125","124.63504028320312","124.63504028320312","124.63504028320312","120.10537719726562","120.10537719726562","120.10537719726562"
"34","149.9347381591797","149.9347381591797","149.9347381591797","153.41262817382812","153.41262817382812","153.41262817382812","157.48886108398438","157.48886108398438","157.48886108398438","120.87943267822266","120.87943267822266","120.87943267822266","123.23818969726562","123.23818969726562","123.23818969726562","120.27788543701172","120.27788543701172","120.27788543701172"
"36","148.1454315185547","148.1454315185547","148.1454315185547","152.05116271972656","152.05116271972656","152.05116271972656","153.69146728515625","153.69146728515625","153.69146728515625","120.40387725830078","120.40387725830078","120.40387725830078","123.41072082519531","123.41072082519531","123.41072082519531","123.60631561279297","123.60631561279297","123.60631561279297"
"38","146.37936401367188","146.37936401367188","146.37936401367188","150.47096252441406","150.47096252441406","150.47096252441406","151.61175537109375","151.61175537109375","151.61175537109375","120.6578140258789","120.6578140258789","120.6578140258789","121.35230255126953","121.35230255126953","121.35230255126953","118.8894271850586","118.8894271850586","118.8894271850586"
"40","145.4237518310547","145.4237518310547","145.4237518310547","148.3818359375","148.3818359375","148.3818359375","150.37916564941406","150.37916564941406","150.37916564941406","119.80455017089844","119.80455017089844","119.80455017089844","122.33386993408203","122.33386993408203","122.33386993408203","117.81826782226562","117.81826782226562","117.81826782226562"
"42","142.19778442382812","142.19778442382812","142.19778442382812","145.91189575195312","145.91189575195312","145.91189575195312","152.95924377441406","152.95924377441406","152.95924377441406","117.86014556884766","117.86014556884766","117.86014556884766","120.2871322631836","120.2871322631836","120.2871322631836","118.17195129394531","118.17195129394531","118.17195129394531"
"44","140.7005615234375","140.7005615234375","140.7005615234375","145.1600799560547","145.1600799560547","145.1600799560547","149.90048217773438","149.90048217773438","149.90048217773438","118.32083129882812","118.32083129882812","118.32083129882812","119.56377410888672","119.56377410888672","119.56377410888672","117.5761489868164","117.5761489868164","117.5761489868164"
"46","139.32432556152344","139.32432556152344","139.32432556152344","143.43641662597656","143.43641662597656","143.43641662597656","150.208984375","150.208984375","150.208984375","118.55147552490234","118.55147552490234","118.55147552490234","120.61732482910156","120.61732482910156","120.61732482910156","118.18719482421875","118.18719482421875","118.18719482421875"
"48","138.38438415527344","138.38438415527344","138.38438415527344","142.3607177734375","142.3607177734375","142.3607177734375","152.6405029296875","152.6405029296875","152.6405029296875","116.84846496582031","116.84846496582031","116.84846496582031","119.76392364501953","119.76392364501953","119.76392364501953","119.44558715820312","119.44558715820312","119.44558715820312"
"50","136.50193786621094","136.50193786621094","136.50193786621094","141.99728393554688","141.99728393554688","141.99728393554688","153.53244018554688","153.53244018554688","153.53244018554688","116.37503814697266","116.37503814697266","116.37503814697266","119.26939392089844","119.26939392089844","119.26939392089844","118.16645812988281","118.16645812988281","118.16645812988281"
