"Step","rank: 17 - loss_valid","rank: 17 - loss_valid__MIN","rank: 17 - loss_valid__MAX","rank: 10 - loss_valid","rank: 10 - loss_valid__MIN","rank: 10 - loss_valid__MAX","rank: 8 - loss_valid","rank: 8 - loss_valid__MIN","rank: 8 - loss_valid__MAX","rank: 6 - loss_valid","rank: 6 - loss_valid__MIN","rank: 6 - loss_valid__MAX","rank: 4 - loss_valid","rank: 4 - loss_valid__MIN","rank: 4 - loss_valid__MAX"
"20","4.81587028503418","4.81587028503418","4.81587028503418","5.0281500816345215","5.0281500816345215","5.0281500816345215","5.089446067810059","5.089446067810059","5.089446067810059","5.18595027923584","5.18595027923584","5.18595027923584","5.366477012634277","5.366477012634277","5.366477012634277"
"22","4.812792778015137","4.812792778015137","4.812792778015137","4.994438171386719","4.994438171386719","4.994438171386719","5.074260234832764","5.074260234832764","5.074260234832764","5.176788806915283","5.176788806915283","5.176788806915283","5.361438274383545","5.361438274383545","5.361438274383545"
"24","4.809202671051025","4.809202671051025","4.809202671051025","4.982687473297119","4.982687473297119","4.982687473297119","5.082232475280762","5.082232475280762","5.082232475280762","5.175443172454834","5.175443172454834","5.175443172454834","5.347409725189209","5.347409725189209","5.347409725189209"
"26","4.80242919921875","4.80242919921875","4.80242919921875","4.989428520202637","4.989428520202637","4.989428520202637","5.068074703216553","5.068074703216553","5.068074703216553","5.2055840492248535","5.2055840492248535","5.2055840492248535","5.34926700592041","5.34926700592041","5.34926700592041"
"28","4.803358554840088","4.803358554840088","4.803358554840088","4.975496768951416","4.975496768951416","4.975496768951416","5.059948444366455","5.059948444366455","5.059948444366455","5.164781093597412","5.164781093597412","5.164781093597412","5.355417728424072","5.355417728424072","5.355417728424072"
"30","4.79774808883667","4.79774808883667","4.79774808883667","4.967914581298828","4.967914581298828","4.967914581298828","5.059004783630371","5.059004783630371","5.059004783630371","5.159757614135742","5.159757614135742","5.159757614135742","5.347172260284424","5.347172260284424","5.347172260284424"
"32","4.8139472007751465","4.8139472007751465","4.8139472007751465","4.96467399597168","4.96467399597168","4.96467399597168","5.058752059936523","5.058752059936523","5.058752059936523","5.170923709869385","5.170923709869385","5.170923709869385","5.343769073486328","5.343769073486328","5.343769073486328"
"34","4.79222297668457","4.79222297668457","4.79222297668457","4.993281841278076","4.993281841278076","4.993281841278076","5.0427727699279785","5.0427727699279785","5.0427727699279785","5.152128219604492","5.152128219604492","5.152128219604492","5.336521625518799","5.336521625518799","5.336521625518799"
"36","4.800919532775879","4.800919532775879","4.800919532775879","4.968044281005859","4.968044281005859","4.968044281005859","5.051071643829346","5.051071643829346","5.051071643829346","5.169919490814209","5.169919490814209","5.169919490814209","5.375354766845703","5.375354766845703","5.375354766845703"
"38","4.793807029724121","4.793807029724121","4.793807029724121","4.955134391784668","4.955134391784668","4.955134391784668","5.048703670501709","5.048703670501709","5.048703670501709","5.148648738861084","5.148648738861084","5.148648738861084","5.3463969230651855","5.3463969230651855","5.3463969230651855"
"40","4.799095630645752","4.799095630645752","4.799095630645752","4.948776721954346","4.948776721954346","4.948776721954346","5.04982852935791","5.04982852935791","5.04982852935791","5.168328285217285","5.168328285217285","5.168328285217285","5.334157943725586","5.334157943725586","5.334157943725586"
"42","4.807015895843506","4.807015895843506","4.807015895843506","4.961071968078613","4.961071968078613","4.961071968078613","5.079202175140381","5.079202175140381","5.079202175140381","5.141136169433594","5.141136169433594","5.141136169433594","5.332275867462158","5.332275867462158","5.332275867462158"
"44","4.800497531890869","4.800497531890869","4.800497531890869","4.945605278015137","4.945605278015137","4.945605278015137","5.073038578033447","5.073038578033447","5.073038578033447","5.152900218963623","5.152900218963623","5.152900218963623","5.326280117034912","5.326280117034912","5.326280117034912"
"46","4.787634372711182","4.787634372711182","4.787634372711182","4.9507293701171875","4.9507293701171875","4.9507293701171875","5.047773838043213","5.047773838043213","5.047773838043213","5.132709503173828","5.132709503173828","5.132709503173828","5.347788333892822","5.347788333892822","5.347788333892822"
"48","4.808536529541016","4.808536529541016","4.808536529541016","4.959624290466309","4.959624290466309","4.959624290466309","5.066509246826172","5.066509246826172","5.066509246826172","5.168482780456543","5.168482780456543","5.168482780456543","5.325432777404785","5.325432777404785","5.325432777404785"
"50","4.810985565185547","4.810985565185547","4.810985565185547","4.967358112335205","4.967358112335205","4.967358112335205","5.04148006439209","5.04148006439209","5.04148006439209","5.137050628662109","5.137050628662109","5.137050628662109","5.3236083984375","5.3236083984375","5.3236083984375"
"52","4.802976131439209","4.802976131439209","4.802976131439209","4.937408924102783","4.937408924102783","4.937408924102783","5.041020393371582","5.041020393371582","5.041020393371582","5.131534576416016","5.131534576416016","5.131534576416016","5.328982830047607","5.328982830047607","5.328982830047607"
"54","4.8037261962890625","4.8037261962890625","4.8037261962890625","4.95236873626709","4.95236873626709","4.95236873626709","5.035184383392334","5.035184383392334","5.035184383392334","5.147588729858398","5.147588729858398","5.147588729858398","5.316946983337402","5.316946983337402","5.316946983337402"
"56","4.792446136474609","4.792446136474609","4.792446136474609","4.959993362426758","4.959993362426758","4.959993362426758","5.044060707092285","5.044060707092285","5.044060707092285","5.134377479553223","5.134377479553223","5.134377479553223","5.326793670654297","5.326793670654297","5.326793670654297"
"58","4.804508209228516","4.804508209228516","4.804508209228516","4.935572147369385","4.935572147369385","4.935572147369385","5.047685623168945","5.047685623168945","5.047685623168945","5.125794887542725","5.125794887542725","5.125794887542725","5.332864761352539","5.332864761352539","5.332864761352539"
"60","4.801666259765625","4.801666259765625","4.801666259765625","4.937345027923584","4.937345027923584","4.937345027923584","5.027729034423828","5.027729034423828","5.027729034423828","5.134540557861328","5.134540557861328","5.134540557861328","5.3155107498168945","5.3155107498168945","5.3155107498168945"
"62","4.80322265625","4.80322265625","4.80322265625","4.966259479522705","4.966259479522705","4.966259479522705","5.0241804122924805","5.0241804122924805","5.0241804122924805","5.124673366546631","5.124673366546631","5.124673366546631","5.330815315246582","5.330815315246582","5.330815315246582"
"64","4.814397811889648","4.814397811889648","4.814397811889648","4.9416584968566895","4.9416584968566895","4.9416584968566895","5.029045104980469","5.029045104980469","5.029045104980469","5.1295084953308105","5.1295084953308105","5.1295084953308105","5.3222150802612305","5.3222150802612305","5.3222150802612305"
"66","4.820096492767334","4.820096492767334","4.820096492767334","4.940971851348877","4.940971851348877","4.940971851348877","5.040554046630859","5.040554046630859","5.040554046630859","5.114974021911621","5.114974021911621","5.114974021911621","5.322793006896973","5.322793006896973","5.322793006896973"
"68","4.827397346496582","4.827397346496582","4.827397346496582","4.9337077140808105","4.9337077140808105","4.9337077140808105","5.0479326248168945","5.0479326248168945","5.0479326248168945","5.118089199066162","5.118089199066162","5.118089199066162","5.316052436828613","5.316052436828613","5.316052436828613"
"70","4.82791805267334","4.82791805267334","4.82791805267334","4.942349433898926","4.942349433898926","4.942349433898926","5.041306018829346","5.041306018829346","5.041306018829346","5.11934232711792","5.11934232711792","5.11934232711792","5.336231708526611","5.336231708526611","5.336231708526611"
"72","4.840235233306885","4.840235233306885","4.840235233306885","4.938195705413818","4.938195705413818","4.938195705413818","5.0267181396484375","5.0267181396484375","5.0267181396484375","5.1590166091918945","5.1590166091918945","5.1590166091918945","5.367061614990234","5.367061614990234","5.367061614990234"
"74","4.821837902069092","4.821837902069092","4.821837902069092","4.959519386291504","4.959519386291504","4.959519386291504","5.029017448425293","5.029017448425293","5.029017448425293","5.122417449951172","5.122417449951172","5.122417449951172","5.3139142990112305","5.3139142990112305","5.3139142990112305"
"76","4.863563060760498","4.863563060760498","4.863563060760498","4.966211795806885","4.966211795806885","4.966211795806885","5.030296802520752","5.030296802520752","5.030296802520752","5.112720966339111","5.112720966339111","5.112720966339111","5.314651012420654","5.314651012420654","5.314651012420654"
"78","4.819890975952148","4.819890975952148","4.819890975952148","4.948564529418945","4.948564529418945","4.948564529418945","5.0276618003845215","5.0276618003845215","5.0276618003845215","5.119022846221924","5.119022846221924","5.119022846221924","5.321118354797363","5.321118354797363","5.321118354797363"
"80","4.829720497131348","4.829720497131348","4.829720497131348","4.960373401641846","4.960373401641846","4.960373401641846","5.044811248779297","5.044811248779297","5.044811248779297","5.119659423828125","5.119659423828125","5.119659423828125","5.315511226654053","5.315511226654053","5.315511226654053"
"82","4.8295769691467285","4.8295769691467285","4.8295769691467285","4.952669620513916","4.952669620513916","4.952669620513916","5.021584510803223","5.021584510803223","5.021584510803223","5.130683422088623","5.130683422088623","5.130683422088623","5.322778224945068","5.322778224945068","5.322778224945068"
"84","4.838096618652344","4.838096618652344","4.838096618652344","4.9625325202941895","4.9625325202941895","4.9625325202941895","5.017856121063232","5.017856121063232","5.017856121063232","5.11314058303833","5.11314058303833","5.11314058303833","5.321972846984863","5.321972846984863","5.321972846984863"
"86","4.814004421234131","4.814004421234131","4.814004421234131","4.94749116897583","4.94749116897583","4.94749116897583","5.0337042808532715","5.0337042808532715","5.0337042808532715","5.13271427154541","5.13271427154541","5.13271427154541","5.317974090576172","5.317974090576172","5.317974090576172"
"88","4.842666149139404","4.842666149139404","4.842666149139404","4.937063217163086","4.937063217163086","4.937063217163086","5.055691242218018","5.055691242218018","5.055691242218018","5.133967876434326","5.133967876434326","5.133967876434326","5.319253444671631","5.319253444671631","5.319253444671631"
"90","4.828295707702637","4.828295707702637","4.828295707702637","4.933112621307373","4.933112621307373","4.933112621307373","5.029440402984619","5.029440402984619","5.029440402984619","5.144700527191162","5.144700527191162","5.144700527191162","5.324307918548584","5.324307918548584","5.324307918548584"
"92","4.827998161315918","4.827998161315918","4.827998161315918","4.95937442779541","4.95937442779541","4.95937442779541","5.042158603668213","5.042158603668213","5.042158603668213","5.122619152069092","5.122619152069092","5.122619152069092","5.33186674118042","5.33186674118042","5.33186674118042"
"94","4.850862979888916","4.850862979888916","4.850862979888916","4.94279670715332","4.94279670715332","4.94279670715332","5.033427715301514","5.033427715301514","5.033427715301514","5.1251702308654785","5.1251702308654785","5.1251702308654785","5.322245121002197","5.322245121002197","5.322245121002197"
"96","4.881459712982178","4.881459712982178","4.881459712982178","4.931117534637451","4.931117534637451","4.931117534637451","5.022831439971924","5.022831439971924","5.022831439971924","5.126010417938232","5.126010417938232","5.126010417938232","5.31326150894165","5.31326150894165","5.31326150894165"
"98","4.819294452667236","4.819294452667236","4.819294452667236","4.93923282623291","4.93923282623291","4.93923282623291","5.030505180358887","5.030505180358887","5.030505180358887","5.111055850982666","5.111055850982666","5.111055850982666","5.3109636306762695","5.3109636306762695","5.3109636306762695"
